2021-11-05 07:05:09,988 [   2102]   WARN - nSystem.impl.ActionManagerImpl - keymap "Visual Studio" not found [Plugin: com.intellij] 
2021-11-05 07:05:09,992 [   2106]   WARN - nSystem.impl.ActionManagerImpl - keymap "Eclipse" not found [Plugin: com.intellij] 
2021-11-05 07:05:09,992 [   2106]   WARN - nSystem.impl.ActionManagerImpl - keymap "NetBeans 6.5" not found [Plugin: com.intellij] 
2021-11-05 07:05:09,992 [   2106]   WARN - nSystem.impl.ActionManagerImpl - keymap "Visual Studio" not found [Plugin: com.intellij] 
2021-11-05 07:05:10,027 [   2141]   WARN - nSystem.impl.ActionManagerImpl - keymap "Visual Studio" not found [Plugin: HtmlTools] 
2021-11-05 07:05:10,044 [   2158]   WARN - nSystem.impl.ActionManagerImpl - keymap "Eclipse" not found [Plugin: org.jetbrains.plugins.github] 
2021-11-05 07:05:10,068 [   2182]   WARN - nSystem.impl.ActionManagerImpl - keymap "Eclipse" not found [Plugin: JavaScript] 
2021-11-05 07:05:10,069 [   2183]   WARN - nSystem.impl.ActionManagerImpl - keymap "Visual Studio" not found [Plugin: JavaScript] 
2021-11-05 07:05:10,081 [   2195]   WARN - nSystem.impl.ActionManagerImpl - keymap "Eclipse" not found [Plugin: Pythonid] 
2021-11-05 07:05:10,081 [   2195]   WARN - nSystem.impl.ActionManagerImpl - keymap "NetBeans 6.5" not found [Plugin: Pythonid] 
2021-11-05 07:05:10,082 [   2196]   WARN - nSystem.impl.ActionManagerImpl - keymap "Visual Studio" not found [Plugin: Pythonid] 
2021-11-05 07:05:10,082 [   2196]   WARN - nSystem.impl.ActionManagerImpl - keymap "Eclipse" not found [Plugin: Pythonid] 
2021-11-05 07:05:10,653 [   2767]   WARN - l.NotificationGroupManagerImpl - Notification group CodeWithMe is already registered (group=com.intellij.notification.NotificationGroup@dc9e2a1). Plugin descriptor: PluginDescriptor(name=Code With Me, id=com.jetbrains.codeWithMe, descriptorPath=plugin.xml, path=/var/lib/snapd/snap/pycharm-professional/260/plugins/cwm-plugin, version=212.5457.59, package=null) 
2021-11-05 07:05:13,728 [   5842]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_account/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,728 [   5842]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_account/__pycache__/admin.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_account/__pycache__/forms.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_account/__pycache__/models.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_account/__pycache__/urls.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_account/__pycache__/views.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_brands/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_brands/__pycache__/admin.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_brands/__pycache__/apps.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_brands/__pycache__/models.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_contacts/__pycache__/__init__.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_contacts/__pycache__/admin.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_contacts/__pycache__/apps.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_contacts/__pycache__/forms.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_contacts/__pycache__/models.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_contacts/__pycache__/urls.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
2021-11-05 07:05:13,729 [   5843]   WARN - ea.status.GitStagingAreaHolder - Ignoring change under another root: GitFileStatus(index= , workTree=M, path=/home/reza/projects/khoshtipkala/eshop_contacts/__pycache__/views.cpython-39.pyc, origPath=null); root: file:///home/reza/projects/khoshtipkala; mapped root: null 
